team1,home_ground
Pune Warriors,MCA Stadium
Kolkata Knight Riders,Eden Gardens
Rajasthan Royals,Sawai Mansingh Stadium
Kochi Tuskers Kerala,Jawaharlal Nehru Stadium
Gujarat Lions,Saurashtra Cricket Association Stadium
Chennai Super Kings,M. A. Chidambaram Stadium
Rising Pune Supergiant,MCA Stadium
Delhi Daredevils,Arun Jaitley Stadium
Deccan Chargers,Rajiv Gandhi International Stadium
Delhi Capitals,Arun Jaitley Stadium
Mumbai Indians,Wankhede Stadium
Sunrisers Hyderabad,Rajiv Gandhi International Stadium
Royal Challengers Bangalore,M Chinnaswamy Stadium
Kings XI Punjab,IS Bindra Stadium
